TempReconst7Final.xls,,,,,,
Reconstructed value of March mean temperature at Kyoto City,,,,,,
"801-1400 A.D. : Aono and Saito (2010): International Journal of Biometeorology, 54, 211-219",,,,,,
"1401-1990 A.D. : Aono and Kazui (2008): International Journal of Climatology, 28, 905-914",,,,,,
"Partly modified by Aono (2012): Chikyu Kankyo (Global Environment), 17, 21-29",,,,,,
,,,,,,
Column B; Reconstructed temperature deduced from 5 or more years phenological data in each 31-year time span used for smoothing by local linear regression.,,,,,,
Column C; upper limit of 95% confidence intervals in smoothing procedure for temperature estimates.,,,,,,
Column D; lower limit of 95% confidence intervals in smoothing procedure for temperature estimates.,,,,,,
"Column E; observed temperature, smoothed by same procedure for temperature estimates.",,,,,,
Column F; Urban warming bias was obscured (Using Hikone weather station as a control site).,,,,,,
"Column G; Same as Column F, except for using Kameoka weather station as a control site..",,,,,,
,,,,,,
-50.00 means no data or gap of temperature estimations.,,,,,,
,,,,,,
,,,,,,
AD,Estimated temperature,Upper limit,Lower limit,Observed temperature,Urban bias was subtracted (Hikone),Urban bias was subtracted (Kameoka)
816,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
817,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
818,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
819,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
820,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
821,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
822,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
823,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
824,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
825,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
826,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
827,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
828,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
829,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
830,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
831,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
832,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
833,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
834,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
835,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
836,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
837,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
838,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
839,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
840,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
841,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
842,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
843,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
844,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
845,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
846,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
847,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
848,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
849,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
850,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00
